2026-07-13 18:14:34 | User: labish     | Action: PROGRAM_START   | Target: task3
2026-07-14 00:19:23 | User: admin      | Action: READ_ENCRYPTED  | Target: secret.txt
2026-07-14 00:19:23 | User: guest      | Action: PERMISSION_DENIED | Target: secret.txt
2026-07-14 00:19:23 | User: admin      | Action: DELETE          | Target: notes.txt
2026-07-14 00:19:23 | User: admin      | Action: DELETE          | Target: secret.txt
2026-07-14 00:19:23 | User: admin      | Action: PROGRAM_END     | Target: task3
2026-07-14 12:39:56 | User: system     | Action: PROGRAM_START   | Target: task3
2026-07-14 12:40:12 | User: admin      | Action: LOGIN_SUCCESS   | Target: -
2026-07-14 12:40:12 | User: admin      | Action: CREATE          | Target: notes.txt
2026-07-14 12:40:12 | User: admin      | Action: WRITE           | Target: notes.txt
2026-07-14 12:40:12 | User: admin      | Action: READ            | Target: notes.txt
2026-07-14 12:40:12 | User: admin      | Action: CREATE          | Target: secret.txt
2026-07-14 12:40:12 | User: admin      | Action: WRITE_ENCRYPTED | Target: secret.txt
2026-07-14 12:40:12 | User: admin      | Action: READ_ENCRYPTED  | Target: secret.txt
2026-07-14 12:40:12 | User: guest      | Action: PERMISSION_DENIED | Target: secret.txt
2026-07-14 12:40:12 | User: admin      | Action: DELETE          | Target: notes.txt
2026-07-14 12:40:12 | User: admin      | Action: DELETE          | Target: secret.txt
2026-07-14 12:40:12 | User: admin      | Action: PROGRAM_END     | Target: task3
2026-07-14 12:50:22 | User: system     | Action: PROGRAM_START   | Target: task3
2026-07-14 12:50:32 | User: admin      | Action: LOGIN_FAILED    | Target: -
2026-07-14 12:50:32 | User: system     | Action: PROGRAM_ABORTED | Target: authentication failed
2026-07-14 15:57:15 | User: system     | Action: PROGRAM_START   | Target: task3
2026-07-14 15:57:20 | User: admin      | Action: LOGIN_SUCCESS   | Target: -
2026-07-14 15:57:20 | User: admin      | Action: CREATE          | Target: notes.txt
2026-07-14 15:57:20 | User: admin      | Action: WRITE           | Target: notes.txt
2026-07-14 15:57:20 | User: admin      | Action: READ            | Target: notes.txt
2026-07-14 15:57:20 | User: admin      | Action: CREATE          | Target: secret.txt
2026-07-14 15:57:20 | User: admin      | Action: WRITE_ENCRYPTED | Target: secret.txt
2026-07-14 15:57:20 | User: admin      | Action: READ_ENCRYPTED  | Target: secret.txt
2026-07-14 15:57:20 | User: guest      | Action: PERMISSION_DENIED | Target: secret.txt
2026-07-14 15:57:20 | User: admin      | Action: DELETE          | Target: notes.txt
2026-07-14 15:57:20 | User: admin      | Action: DELETE          | Target: secret.txt
2026-07-14 15:57:20 | User: admin      | Action: PROGRAM_END     | Target: task3
